Sales_Value,date,product
15750,31/07/2016 00:00,LOCK WASHER
15750,31/08/2016 00:00,LOCK WASHER
19250,30/09/2016 00:00,LOCK WASHER
19250,31/10/2016 00:00,LOCK WASHER
26250,30/11/2016 00:00,LOCK WASHER
26250,31/12/2016 00:00,LOCK WASHER
12250,31/01/2017 00:00,LOCK WASHER
15750,28/02/2017 00:00,LOCK WASHER
15750,31/03/2017 00:00,LOCK WASHER
15750,30/04/2017 00:00,LOCK WASHER
19250,31/05/2017 00:00,LOCK WASHER
19250,30/06/2017 00:00,LOCK WASHER
19250,31/07/2017 00:00,LOCK WASHER
19250,31/08/2017 00:00,LOCK WASHER
22750,30/09/2017 00:00,LOCK WASHER
19250,31/10/2017 00:00,LOCK WASHER
29750,30/11/2017 00:00,LOCK WASHER
26250,31/12/2017 00:00,LOCK WASHER
15750,31/01/2018 00:00,LOCK WASHER
19250,28/02/2018 00:00,LOCK WASHER
19250,31/03/2018 00:00,LOCK WASHER
19250,30/04/2018 00:00,LOCK WASHER
19250,31/05/2018 00:00,LOCK WASHER
22750,30/06/2018 00:00,LOCK WASHER
19250,31/07/2018 00:00,LOCK WASHER
22750,31/08/2018 00:00,LOCK WASHER
22750,30/09/2018 00:00,LOCK WASHER
26250,31/10/2018 00:00,LOCK WASHER
33250,30/11/2018 00:00,LOCK WASHER
29750,31/12/2018 00:00,LOCK WASHER
15750,31/01/2019 00:00,LOCK WASHER
22750,28/02/2019 00:00,LOCK WASHER
19250,31/03/2019 00:00,LOCK WASHER
22750,30/04/2019 00:00,LOCK WASHER
22750,31/05/2019 00:00,LOCK WASHER
26250,30/06/2019 00:00,LOCK WASHER
26250,31/07/2019 00:00,LOCK WASHER
26250,31/08/2019 00:00,LOCK WASHER
26250,30/09/2019 00:00,LOCK WASHER
29750,31/10/2019 00:00,LOCK WASHER
36750,30/11/2019 00:00,LOCK WASHER
40250,31/12/2019 00:00,LOCK WASHER
19250,31/01/2020 00:00,LOCK WASHER
26250,29/02/2020 00:00,LOCK WASHER
22750,31/03/2020 00:00,LOCK WASHER
26250,30/04/2020 00:00,LOCK WASHER
29750,31/05/2020 00:00,LOCK WASHER
33250,30/06/2020 00:00,LOCK WASHER
33250,31/07/2020 00:00,LOCK WASHER
29750,31/08/2020 00:00,LOCK WASHER
36750,30/09/2020 00:00,LOCK WASHER
33250,31/10/2020 00:00,LOCK WASHER
36750,30/11/2020 00:00,LOCK WASHER
43750,31/12/2020 00:00,LOCK WASHER
22750,31/01/2021 00:00,LOCK WASHER
29750,28/02/2021 00:00,LOCK WASHER
29750,31/03/2021 00:00,LOCK WASHER
33250,30/04/2021 00:00,LOCK WASHER
29750,31/05/2021 00:00,LOCK WASHER
33250,30/06/2021 00:00,LOCK WASHER
36750,31/07/2021 00:00,LOCK WASHER
33250,31/08/2021 00:00,LOCK WASHER
40250,30/09/2021 00:00,LOCK WASHER
43750,31/10/2021 00:00,LOCK WASHER
40250,30/11/2021 00:00,LOCK WASHER
50750,31/12/2021 00:00,LOCK WASHER
26250,31/01/2022 00:00,LOCK WASHER
29750,28/02/2022 00:00,LOCK WASHER
33250,31/03/2022 00:00,LOCK WASHER
36750,30/04/2022 00:00,LOCK WASHER
33250,31/05/2022 00:00,LOCK WASHER
40250,30/06/2022 00:00,LOCK WASHER
36750,31/07/2022 00:00,LOCK WASHER
40250,31/08/2022 00:00,LOCK WASHER
43750,30/09/2022 00:00,LOCK WASHER
40250,31/10/2022 00:00,LOCK WASHER
47250,30/11/2022 00:00,LOCK WASHER
54250,31/12/2022 00:00,LOCK WASHER
29750,31/01/2023 00:00,LOCK WASHER
33250,28/02/2023 00:00,LOCK WASHER
33250,31/03/2023 00:00,LOCK WASHER
40250,30/04/2023 00:00,LOCK WASHER
36750,31/05/2023 00:00,LOCK WASHER
40250,30/06/2023 00:00,LOCK WASHER
40250,31/07/2023 00:00,LOCK WASHER
40250,31/08/2023 00:00,LOCK WASHER
47250,30/09/2023 00:00,LOCK WASHER
43750,31/10/2023 00:00,LOCK WASHER
54250,30/11/2023 00:00,LOCK WASHER
12000,30/06/2011 00:00,OIL FILTER(DRIVE)
7200,31/07/2011 00:00,OIL FILTER(DRIVE)
7200,31/08/2011 00:00,OIL FILTER(DRIVE)
12000,30/09/2011 00:00,OIL FILTER(DRIVE)
12000,31/10/2011 00:00,OIL FILTER(DRIVE)
12000,30/11/2011 00:00,OIL FILTER(DRIVE)
16800,31/12/2011 00:00,OIL FILTER(DRIVE)
7200,31/01/2012 00:00,OIL FILTER(DRIVE)
7200,29/02/2012 00:00,OIL FILTER(DRIVE)
7200,31/03/2012 00:00,OIL FILTER(DRIVE)
7200,30/04/2012 00:00,OIL FILTER(DRIVE)
7200,31/05/2012 00:00,OIL FILTER(DRIVE)
12000,30/06/2012 00:00,OIL FILTER(DRIVE)
12000,31/07/2012 00:00,OIL FILTER(DRIVE)
12000,31/08/2012 00:00,OIL FILTER(DRIVE)
12000,30/09/2012 00:00,OIL FILTER(DRIVE)
12000,31/10/2012 00:00,OIL FILTER(DRIVE)
21600,30/11/2012 00:00,OIL FILTER(DRIVE)
21600,31/12/2012 00:00,OIL FILTER(DRIVE)
7200,31/01/2013 00:00,OIL FILTER(DRIVE)
12000,28/02/2013 00:00,OIL FILTER(DRIVE)
12000,31/03/2013 00:00,OIL FILTER(DRIVE)
12000,30/04/2013 00:00,OIL FILTER(DRIVE)
12000,31/05/2013 00:00,OIL FILTER(DRIVE)
12000,30/06/2013 00:00,OIL FILTER(DRIVE)
16800,31/07/2013 00:00,OIL FILTER(DRIVE)
16800,31/08/2013 00:00,OIL FILTER(DRIVE)
16800,30/09/2013 00:00,OIL FILTER(DRIVE)
16800,31/10/2013 00:00,OIL FILTER(DRIVE)
26400,30/11/2013 00:00,OIL FILTER(DRIVE)
26400,31/12/2013 00:00,OIL FILTER(DRIVE)
12000,31/01/2014 00:00,OIL FILTER(DRIVE)
12000,28/02/2014 00:00,OIL FILTER(DRIVE)
12000,31/03/2014 00:00,OIL FILTER(DRIVE)
16800,30/04/2014 00:00,OIL FILTER(DRIVE)
16800,31/05/2014 00:00,OIL FILTER(DRIVE)
16800,30/06/2014 00:00,OIL FILTER(DRIVE)
16800,31/07/2014 00:00,OIL FILTER(DRIVE)
16800,31/08/2014 00:00,OIL FILTER(DRIVE)
16800,30/09/2014 00:00,OIL FILTER(DRIVE)
21600,31/10/2014 00:00,OIL FILTER(DRIVE)
21600,30/11/2014 00:00,OIL FILTER(DRIVE)
26400,31/12/2014 00:00,OIL FILTER(DRIVE)
12000,31/01/2015 00:00,OIL FILTER(DRIVE)
16800,28/02/2015 00:00,OIL FILTER(DRIVE)
16800,31/03/2015 00:00,OIL FILTER(DRIVE)
16800,30/04/2015 00:00,OIL FILTER(DRIVE)
16800,31/05/2015 00:00,OIL FILTER(DRIVE)
16800,30/06/2015 00:00,OIL FILTER(DRIVE)
21600,31/07/2015 00:00,OIL FILTER(DRIVE)
16800,31/08/2015 00:00,OIL FILTER(DRIVE)
21600,30/09/2015 00:00,OIL FILTER(DRIVE)
21600,31/10/2015 00:00,OIL FILTER(DRIVE)
26400,30/11/2015 00:00,OIL FILTER(DRIVE)
31200,31/12/2015 00:00,OIL FILTER(DRIVE)
16800,31/01/2016 00:00,OIL FILTER(DRIVE)
16800,29/02/2016 00:00,OIL FILTER(DRIVE)
21600,31/03/2016 00:00,OIL FILTER(DRIVE)
21600,30/04/2016 00:00,OIL FILTER(DRIVE)
21600,31/05/2016 00:00,OIL FILTER(DRIVE)
21600,30/06/2016 00:00,OIL FILTER(DRIVE)
21600,31/07/2016 00:00,OIL FILTER(DRIVE)
21600,31/08/2016 00:00,OIL FILTER(DRIVE)
26400,30/09/2016 00:00,OIL FILTER(DRIVE)
26400,31/10/2016 00:00,OIL FILTER(DRIVE)
36000,30/11/2016 00:00,OIL FILTER(DRIVE)
36000,31/12/2016 00:00,OIL FILTER(DRIVE)
16800,31/01/2017 00:00,OIL FILTER(DRIVE)
21600,28/02/2017 00:00,OIL FILTER(DRIVE)
21600,31/03/2017 00:00,OIL FILTER(DRIVE)
21600,30/04/2017 00:00,OIL FILTER(DRIVE)
26400,31/05/2017 00:00,OIL FILTER(DRIVE)
26400,30/06/2017 00:00,OIL FILTER(DRIVE)
26400,31/07/2017 00:00,OIL FILTER(DRIVE)
26400,31/08/2017 00:00,OIL FILTER(DRIVE)
31200,30/09/2017 00:00,OIL FILTER(DRIVE)
26400,31/10/2017 00:00,OIL FILTER(DRIVE)
40800,30/11/2017 00:00,OIL FILTER(DRIVE)
36000,31/12/2017 00:00,OIL FILTER(DRIVE)
21600,31/01/2018 00:00,OIL FILTER(DRIVE)
26400,28/02/2018 00:00,OIL FILTER(DRIVE)
26400,31/03/2018 00:00,OIL FILTER(DRIVE)
26400,30/04/2018 00:00,OIL FILTER(DRIVE)
26400,31/05/2018 00:00,OIL FILTER(DRIVE)
31200,30/06/2018 00:00,OIL FILTER(DRIVE)
26400,31/07/2018 00:00,OIL FILTER(DRIVE)
31200,31/08/2018 00:00,OIL FILTER(DRIVE)
31200,30/09/2018 00:00,OIL FILTER(DRIVE)
36000,31/10/2018 00:00,OIL FILTER(DRIVE)
45600,30/11/2018 00:00,OIL FILTER(DRIVE)
40800,31/12/2018 00:00,OIL FILTER(DRIVE)
21600,31/01/2019 00:00,OIL FILTER(DRIVE)
31200,28/02/2019 00:00,OIL FILTER(DRIVE)
26400,31/03/2019 00:00,OIL FILTER(DRIVE)
31200,30/04/2019 00:00,OIL FILTER(DRIVE)
31200,31/05/2019 00:00,OIL FILTER(DRIVE)
36000,30/06/2019 00:00,OIL FILTER(DRIVE)
36000,31/07/2019 00:00,OIL FILTER(DRIVE)
36000,31/08/2019 00:00,OIL FILTER(DRIVE)
36000,30/09/2019 00:00,OIL FILTER(DRIVE)
40800,31/10/2019 00:00,OIL FILTER(DRIVE)
50400,30/11/2019 00:00,OIL FILTER(DRIVE)
55200,31/12/2019 00:00,OIL FILTER(DRIVE)
26400,31/01/2020 00:00,OIL FILTER(DRIVE)
36000,29/02/2020 00:00,OIL FILTER(DRIVE)
31200,31/03/2020 00:00,OIL FILTER(DRIVE)
36000,30/04/2020 00:00,OIL FILTER(DRIVE)
40800,31/05/2020 00:00,OIL FILTER(DRIVE)
45600,30/06/2020 00:00,OIL FILTER(DRIVE)
45600,31/07/2020 00:00,OIL FILTER(DRIVE)
40800,31/08/2020 00:00,OIL FILTER(DRIVE)
50400,30/09/2020 00:00,OIL FILTER(DRIVE)
45600,31/10/2020 00:00,OIL FILTER(DRIVE)
50400,30/11/2020 00:00,OIL FILTER(DRIVE)
60000,31/12/2020 00:00,OIL FILTER(DRIVE)
31200,31/01/2021 00:00,OIL FILTER(DRIVE)
40800,28/02/2021 00:00,OIL FILTER(DRIVE)
40800,31/03/2021 00:00,OIL FILTER(DRIVE)
45600,30/04/2021 00:00,OIL FILTER(DRIVE)
40800,31/05/2021 00:00,OIL FILTER(DRIVE)
45600,30/06/2021 00:00,OIL FILTER(DRIVE)
50400,31/07/2021 00:00,OIL FILTER(DRIVE)
45600,31/08/2021 00:00,OIL FILTER(DRIVE)
55200,30/09/2021 00:00,OIL FILTER(DRIVE)
60000,31/10/2021 00:00,OIL FILTER(DRIVE)
55200,30/11/2021 00:00,OIL FILTER(DRIVE)
69600,31/12/2021 00:00,OIL FILTER(DRIVE)
36000,31/01/2022 00:00,OIL FILTER(DRIVE)
40800,28/02/2022 00:00,OIL FILTER(DRIVE)
45600,31/03/2022 00:00,OIL FILTER(DRIVE)
50400,30/04/2022 00:00,OIL FILTER(DRIVE)
45600,31/05/2022 00:00,OIL FILTER(DRIVE)
55200,30/06/2022 00:00,OIL FILTER(DRIVE)
50400,31/07/2022 00:00,OIL FILTER(DRIVE)
55200,31/08/2022 00:00,OIL FILTER(DRIVE)
60000,30/09/2022 00:00,OIL FILTER(DRIVE)
55200,31/10/2022 00:00,OIL FILTER(DRIVE)
64800,30/11/2022 00:00,OIL FILTER(DRIVE)
74400,31/12/2022 00:00,OIL FILTER(DRIVE)
40800,31/01/2023 00:00,OIL FILTER(DRIVE)
45600,28/02/2023 00:00,OIL FILTER(DRIVE)
45600,31/03/2023 00:00,OIL FILTER(DRIVE)
55200,30/04/2023 00:00,OIL FILTER(DRIVE)
50400,31/05/2023 00:00,OIL FILTER(DRIVE)
55200,30/06/2023 00:00,OIL FILTER(DRIVE)
55200,31/07/2023 00:00,OIL FILTER(DRIVE)
55200,31/08/2023 00:00,OIL FILTER(DRIVE)
64800,30/09/2023 00:00,OIL FILTER(DRIVE)
60000,31/10/2023 00:00,OIL FILTER(DRIVE)
74400,30/11/2023 00:00,OIL FILTER(DRIVE)
16250,30/06/2011 00:00,HOSE PUMP TO STEERING
9750,31/07/2011 00:00,HOSE PUMP TO STEERING
9750,31/08/2011 00:00,HOSE PUMP TO STEERING
16250,30/09/2011 00:00,HOSE PUMP TO STEERING
16250,31/10/2011 00:00,HOSE PUMP TO STEERING
16250,30/11/2011 00:00,HOSE PUMP TO STEERING
22750,31/12/2011 00:00,HOSE PUMP TO STEERING
9750,31/01/2012 00:00,HOSE PUMP TO STEERING
9750,29/02/2012 00:00,HOSE PUMP TO STEERING
9750,31/03/2012 00:00,HOSE PUMP TO STEERING
9750,30/04/2012 00:00,HOSE PUMP TO STEERING
9750,31/05/2012 00:00,HOSE PUMP TO STEERING
16250,30/06/2012 00:00,HOSE PUMP TO STEERING
16250,31/07/2012 00:00,HOSE PUMP TO STEERING
16250,31/08/2012 00:00,HOSE PUMP TO STEERING
16250,30/09/2012 00:00,HOSE PUMP TO STEERING
16250,31/10/2012 00:00,HOSE PUMP TO STEERING
29250,30/11/2012 00:00,HOSE PUMP TO STEERING
29250,31/12/2012 00:00,HOSE PUMP TO STEERING
9750,31/01/2013 00:00,HOSE PUMP TO STEERING
16250,28/02/2013 00:00,HOSE PUMP TO STEERING
16250,31/03/2013 00:00,HOSE PUMP TO STEERING
16250,30/04/2013 00:00,HOSE PUMP TO STEERING
16250,31/05/2013 00:00,HOSE PUMP TO STEERING
16250,30/06/2013 00:00,HOSE PUMP TO STEERING
22750,31/07/2013 00:00,HOSE PUMP TO STEERING
22750,31/08/2013 00:00,HOSE PUMP TO STEERING
22750,30/09/2013 00:00,HOSE PUMP TO STEERING
22750,31/10/2013 00:00,HOSE PUMP TO STEERING
35750,30/11/2013 00:00,HOSE PUMP TO STEERING
35750,31/12/2013 00:00,HOSE PUMP TO STEERING
16250,31/01/2014 00:00,HOSE PUMP TO STEERING
16250,28/02/2014 00:00,HOSE PUMP TO STEERING
16250,31/03/2014 00:00,HOSE PUMP TO STEERING
22750,30/04/2014 00:00,HOSE PUMP TO STEERING
22750,31/05/2014 00:00,HOSE PUMP TO STEERING
22750,30/06/2014 00:00,HOSE PUMP TO STEERING
22750,31/07/2014 00:00,HOSE PUMP TO STEERING
22750,31/08/2014 00:00,HOSE PUMP TO STEERING
22750,30/09/2014 00:00,HOSE PUMP TO STEERING
29250,31/10/2014 00:00,HOSE PUMP TO STEERING
29250,30/11/2014 00:00,HOSE PUMP TO STEERING
35750,31/12/2014 00:00,HOSE PUMP TO STEERING
16250,31/01/2015 00:00,HOSE PUMP TO STEERING
22750,28/02/2015 00:00,HOSE PUMP TO STEERING
22750,31/03/2015 00:00,HOSE PUMP TO STEERING
22750,30/04/2015 00:00,HOSE PUMP TO STEERING
22750,31/05/2015 00:00,HOSE PUMP TO STEERING
22750,30/06/2015 00:00,HOSE PUMP TO STEERING
29250,31/07/2015 00:00,HOSE PUMP TO STEERING
22750,31/08/2015 00:00,HOSE PUMP TO STEERING
29250,30/09/2015 00:00,HOSE PUMP TO STEERING
29250,31/10/2015 00:00,HOSE PUMP TO STEERING
35750,30/11/2015 00:00,HOSE PUMP TO STEERING
42250,31/12/2015 00:00,HOSE PUMP TO STEERING
22750,31/01/2016 00:00,HOSE PUMP TO STEERING
22750,29/02/2016 00:00,HOSE PUMP TO STEERING
29250,31/03/2016 00:00,HOSE PUMP TO STEERING
29250,30/04/2016 00:00,HOSE PUMP TO STEERING
29250,31/05/2016 00:00,HOSE PUMP TO STEERING
29250,30/06/2016 00:00,HOSE PUMP TO STEERING
29250,31/07/2016 00:00,HOSE PUMP TO STEERING
29250,31/08/2016 00:00,HOSE PUMP TO STEERING
35750,30/09/2016 00:00,HOSE PUMP TO STEERING
35750,31/10/2016 00:00,HOSE PUMP TO STEERING
48750,30/11/2016 00:00,HOSE PUMP TO STEERING
48750,31/12/2016 00:00,HOSE PUMP TO STEERING
22750,31/01/2017 00:00,HOSE PUMP TO STEERING
29250,28/02/2017 00:00,HOSE PUMP TO STEERING
29250,31/03/2017 00:00,HOSE PUMP TO STEERING
29250,30/04/2017 00:00,HOSE PUMP TO STEERING
35750,31/05/2017 00:00,HOSE PUMP TO STEERING
35750,30/06/2017 00:00,HOSE PUMP TO STEERING
35750,31/07/2017 00:00,HOSE PUMP TO STEERING
35750,31/08/2017 00:00,HOSE PUMP TO STEERING
42250,30/09/2017 00:00,HOSE PUMP TO STEERING
35750,31/10/2017 00:00,HOSE PUMP TO STEERING
55250,30/11/2017 00:00,HOSE PUMP TO STEERING
48750,31/12/2017 00:00,HOSE PUMP TO STEERING
29250,31/01/2018 00:00,HOSE PUMP TO STEERING
35750,28/02/2018 00:00,HOSE PUMP TO STEERING
35750,31/03/2018 00:00,HOSE PUMP TO STEERING
35750,30/04/2018 00:00,HOSE PUMP TO STEERING
35750,31/05/2018 00:00,HOSE PUMP TO STEERING
42250,30/06/2018 00:00,HOSE PUMP TO STEERING
35750,31/07/2018 00:00,HOSE PUMP TO STEERING
42250,31/08/2018 00:00,HOSE PUMP TO STEERING
42250,30/09/2018 00:00,HOSE PUMP TO STEERING
48750,31/10/2018 00:00,HOSE PUMP TO STEERING
61750,30/11/2018 00:00,HOSE PUMP TO STEERING
55250,31/12/2018 00:00,HOSE PUMP TO STEERING
29250,31/01/2019 00:00,HOSE PUMP TO STEERING
42250,28/02/2019 00:00,HOSE PUMP TO STEERING
35750,31/03/2019 00:00,HOSE PUMP TO STEERING
42250,30/04/2019 00:00,HOSE PUMP TO STEERING
42250,31/05/2019 00:00,HOSE PUMP TO STEERING
48750,30/06/2019 00:00,HOSE PUMP TO STEERING
48750,31/07/2019 00:00,HOSE PUMP TO STEERING
48750,31/08/2019 00:00,HOSE PUMP TO STEERING
48750,30/09/2019 00:00,HOSE PUMP TO STEERING
55250,31/10/2019 00:00,HOSE PUMP TO STEERING
68250,30/11/2019 00:00,HOSE PUMP TO STEERING
74750,31/12/2019 00:00,HOSE PUMP TO STEERING
35750,31/01/2020 00:00,HOSE PUMP TO STEERING
48750,29/02/2020 00:00,HOSE PUMP TO STEERING
42250,31/03/2020 00:00,HOSE PUMP TO STEERING
48750,30/04/2020 00:00,HOSE PUMP TO STEERING
55250,31/05/2020 00:00,HOSE PUMP TO STEERING
61750,30/06/2020 00:00,HOSE PUMP TO STEERING
61750,31/07/2020 00:00,HOSE PUMP TO STEERING
55250,31/08/2020 00:00,HOSE PUMP TO STEERING
68250,30/09/2020 00:00,HOSE PUMP TO STEERING
61750,31/10/2020 00:00,HOSE PUMP TO STEERING
68250,30/11/2020 00:00,HOSE PUMP TO STEERING
81250,31/12/2020 00:00,HOSE PUMP TO STEERING
42250,31/01/2021 00:00,HOSE PUMP TO STEERING
55250,28/02/2021 00:00,HOSE PUMP TO STEERING
55250,31/03/2021 00:00,HOSE PUMP TO STEERING
61750,30/04/2021 00:00,HOSE PUMP TO STEERING
55250,31/05/2021 00:00,HOSE PUMP TO STEERING
61750,30/06/2021 00:00,HOSE PUMP TO STEERING
68250,31/07/2021 00:00,HOSE PUMP TO STEERING
61750,31/08/2021 00:00,HOSE PUMP TO STEERING
74750,30/09/2021 00:00,HOSE PUMP TO STEERING
81250,31/10/2021 00:00,HOSE PUMP TO STEERING
74750,30/11/2021 00:00,HOSE PUMP TO STEERING
94250,31/12/2021 00:00,HOSE PUMP TO STEERING
48750,31/01/2022 00:00,HOSE PUMP TO STEERING
55250,28/02/2022 00:00,HOSE PUMP TO STEERING
61750,31/03/2022 00:00,HOSE PUMP TO STEERING
68250,30/04/2022 00:00,HOSE PUMP TO STEERING
61750,31/05/2022 00:00,HOSE PUMP TO STEERING
74750,30/06/2022 00:00,HOSE PUMP TO STEERING
68250,31/07/2022 00:00,HOSE PUMP TO STEERING
74750,31/08/2022 00:00,HOSE PUMP TO STEERING
81250,30/09/2022 00:00,HOSE PUMP TO STEERING
74750,31/10/2022 00:00,HOSE PUMP TO STEERING
87750,30/11/2022 00:00,HOSE PUMP TO STEERING
100750,31/12/2022 00:00,HOSE PUMP TO STEERING
55250,31/01/2023 00:00,HOSE PUMP TO STEERING
61750,28/02/2023 00:00,HOSE PUMP TO STEERING
61750,31/03/2023 00:00,HOSE PUMP TO STEERING
74750,30/04/2023 00:00,HOSE PUMP TO STEERING
68250,31/05/2023 00:00,HOSE PUMP TO STEERING
74750,30/06/2023 00:00,HOSE PUMP TO STEERING
74750,31/07/2023 00:00,HOSE PUMP TO STEERING
74750,31/08/2023 00:00,HOSE PUMP TO STEERING
87750,30/09/2023 00:00,HOSE PUMP TO STEERING
81250,31/10/2023 00:00,HOSE PUMP TO STEERING
100750,30/11/2023 00:00,HOSE PUMP TO STEERING
30000,30/06/2011 00:00,CYLINDER BLOCK
18000,31/07/2011 00:00,CYLINDER BLOCK
18000,31/08/2011 00:00,CYLINDER BLOCK
30000,30/09/2011 00:00,CYLINDER BLOCK
30000,31/10/2011 00:00,CYLINDER BLOCK
30000,30/11/2011 00:00,CYLINDER BLOCK
42000,31/12/2011 00:00,CYLINDER BLOCK
18000,31/01/2012 00:00,CYLINDER BLOCK
18000,29/02/2012 00:00,CYLINDER BLOCK
18000,31/03/2012 00:00,CYLINDER BLOCK
18000,30/04/2012 00:00,CYLINDER BLOCK
18000,31/05/2012 00:00,CYLINDER BLOCK
30000,30/06/2012 00:00,CYLINDER BLOCK
30000,31/07/2012 00:00,CYLINDER BLOCK
30000,31/08/2012 00:00,CYLINDER BLOCK
30000,30/09/2012 00:00,CYLINDER BLOCK
30000,31/10/2012 00:00,CYLINDER BLOCK
54000,30/11/2012 00:00,CYLINDER BLOCK
54000,31/12/2012 00:00,CYLINDER BLOCK
18000,31/01/2013 00:00,CYLINDER BLOCK
30000,28/02/2013 00:00,CYLINDER BLOCK
30000,31/03/2013 00:00,CYLINDER BLOCK
30000,30/04/2013 00:00,CYLINDER BLOCK
30000,31/05/2013 00:00,CYLINDER BLOCK
30000,30/06/2013 00:00,CYLINDER BLOCK
42000,31/07/2013 00:00,CYLINDER BLOCK
42000,31/08/2013 00:00,CYLINDER BLOCK
42000,30/09/2013 00:00,CYLINDER BLOCK
42000,31/10/2013 00:00,CYLINDER BLOCK
66000,30/11/2013 00:00,CYLINDER BLOCK
66000,31/12/2013 00:00,CYLINDER BLOCK
30000,31/01/2014 00:00,CYLINDER BLOCK
30000,28/02/2014 00:00,CYLINDER BLOCK
30000,31/03/2014 00:00,CYLINDER BLOCK
42000,30/04/2014 00:00,CYLINDER BLOCK
42000,31/05/2014 00:00,CYLINDER BLOCK
42000,30/06/2014 00:00,CYLINDER BLOCK
42000,31/07/2014 00:00,CYLINDER BLOCK
42000,31/08/2014 00:00,CYLINDER BLOCK
42000,30/09/2014 00:00,CYLINDER BLOCK
54000,31/10/2014 00:00,CYLINDER BLOCK
54000,30/11/2014 00:00,CYLINDER BLOCK
66000,31/12/2014 00:00,CYLINDER BLOCK
30000,31/01/2015 00:00,CYLINDER BLOCK
42000,28/02/2015 00:00,CYLINDER BLOCK
42000,31/03/2015 00:00,CYLINDER BLOCK
42000,30/04/2015 00:00,CYLINDER BLOCK
42000,31/05/2015 00:00,CYLINDER BLOCK
42000,30/06/2015 00:00,CYLINDER BLOCK
54000,31/07/2015 00:00,CYLINDER BLOCK
42000,31/08/2015 00:00,CYLINDER BLOCK
54000,30/09/2015 00:00,CYLINDER BLOCK
54000,31/10/2015 00:00,CYLINDER BLOCK
66000,30/11/2015 00:00,CYLINDER BLOCK
78000,31/12/2015 00:00,CYLINDER BLOCK
42000,31/01/2016 00:00,CYLINDER BLOCK
42000,29/02/2016 00:00,CYLINDER BLOCK
54000,31/03/2016 00:00,CYLINDER BLOCK
54000,30/04/2016 00:00,CYLINDER BLOCK
54000,31/05/2016 00:00,CYLINDER BLOCK
54000,30/06/2016 00:00,CYLINDER BLOCK
54000,31/07/2016 00:00,CYLINDER BLOCK
54000,31/08/2016 00:00,CYLINDER BLOCK
66000,30/09/2016 00:00,CYLINDER BLOCK
66000,31/10/2016 00:00,CYLINDER BLOCK
90000,30/11/2016 00:00,CYLINDER BLOCK
90000,31/12/2016 00:00,CYLINDER BLOCK
42000,31/01/2017 00:00,CYLINDER BLOCK
54000,28/02/2017 00:00,CYLINDER BLOCK
54000,31/03/2017 00:00,CYLINDER BLOCK
